,palabra,frecuencia
394,universidades,1
395,puiblicas,1
396,problema,1
397,inconveniente,1
398,curricular,1
399,estructurada,1
400,falta,1
401,cambiar,1
402,accesibles,1
403,seria,1
404,bueno,1
405,explicativas,1
406,interactivas,1
407,ninguna,1
408,queja,1
409,bastante,1
410,gusta,1
411,disponibilidad,1
412,felicitando,1
413,autoridades,1
414,proporcionan,1
415,toda,1
416,mejorar,1
417,maestros,1
